bistatic_range_m,log_R,az_off_boresight,rx_elevation_deg,radial_velocity,abs_bistatic_doppler_hz,speed,abs_frac_u,abs_frac_v,n_mpc,rss_max,rss_total_db,k_factor_db,dom_excess_delay,rms_delay_spread,aoa_spread_w,zoa_spread_w,first_rss_minus_dom,n_targets,nn_norm_range_sep,nn_norm_ang_sep,detected
411.802224581432,5.327396016111022,-28.62125159913642,32.1114869570722,9.09236959174701,242.703832390107,13.778280867527394,0.01647472541816697,0.010188936440471252,1,-103.399094374334,-103.399094374334,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
354.134120639743,5.176528532683686,53.5400127746954,62.2200863020513,-7.51204576776857,200.520038096802,13.778280867527394,0.004726097530099338,0.31182153600925133,1,-130.515000862397,-130.51500086239696,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
205.03966868074,4.630056285618346,0.33874598225200003,1.56860026865952,-8.19586831011367,218.773404287783,13.778280867527394,0.18911944889710913,0.12403777503761848,1,-73.7754087592851,-73.7754087592851,60.0,0.0,1.0587911840678754e-22,8.537736462515939e-7,0.0,0.0,1,,,1
307.861240601141,5.036501983371351,41.1935472549429,17.3650999267382,14.1198000108646,376.901702096369,13.778280867527394,0.11478501881286007,0.44929635796741785,1,-100.071419164738,-100.07141916473799,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
85.4387692003252,3.7546527891212746,25.543638920483403,12.5883513448654,-31.3611773643115,837.12808391479,13.778280867527394,0.466652170141046,0.02576557426585957,1,-59.8147641500645,-59.81476415006449,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
462.162518368233,5.442769420024564,19.8856580034565,39.0203649056275,7.71747843577994,206.003679662554,13.778280867527394,0.45649817915683144,0.147090428753458,2,-107.412637528676,-107.41053487180942,33.14910768439945,0.0,3.502689237100213e-9,-0.0,0.0,0.0,1,,,1
457.932163654601,5.433573878292973,-49.4773840290857,34.1355907972909,3.2909149108763,87.8448299840788,13.778280867527394,0.13391508067141444,0.04309574188675569,1,-115.672032879549,-115.67203287954898,60.0,0.0,2.117582368135751e-22,-0.0,0.0,0.0,1,,,1
467.141032252489,5.453484027775265,7.719504610890802,38.6967613112506,21.2993853895056,568.547330750728,13.778280867527394,0.3547172057450374,0.006353308725881135,1,-105.838037472072,-105.838037472072,60.0,0.0,2.117582368135751e-22,-0.0,0.0,0.0,1,,,1
272.032569099121,4.912774617902877,-2.4589010228448984,78.5910187855093,-1.98427135437454,52.9664195179372,13.778280867527394,0.271572321876376,0.3676857421427151,2,-135.233255203895,-134.09608346837962,5.238597050808011,0.0,2.583585856483523e-7,-0.0,0.0,0.0,1,,,
515.05819389871,5.5511327115815865,-22.79666951819677,15.2024362399737,26.0295769909127,694.810965111022,13.778280867527394,0.0351071704455066,0.3913667615931171,2,-101.575967188616,-101.57594181425944,52.33388004282352,0.0,4.0054976443463137e-10,-0.0,0.0,0.0,1,,,1
168.070816852103,4.431238238906539,0.13128315169180027,43.4090408486691,3.74921603689624,100.078322975246,13.778280867527394,0.0532661612693244,0.009531189134715845,2,-79.5961585054357,-79.59029282674848,28.69172725038419,0.0,5.3690702538316975e-9,8.537736462515939e-7,0.0,0.0,1,,,1
199.721670795056,4.603777570724715,-2.820620859580199,28.3531702014416,-5.59460923746671,149.337649438574,13.778280867527394,0.3857904657120581,0.19696267023202196,2,-79.3611220391731,-79.35471149718596,28.305689957433074,0.0,2.3917966906204838e-9,-0.0,1.4210854715202004e-14,0.0,1,,,1
646.148390037485,5.777882002784668,-22.43739970833299,30.7350880597681,4.18494217263129,111.709218744311,13.778280867527394,0.4980377996700067,0.35422072129738424,2,-111.021034235108,-111.02098131152007,49.14132385981537,0.0,2.133987946976036e-9,-0.0,1.4210854715202004e-14,0.0,1,,,1
649.05241665196,5.782366298140064,0.6833420959786984,27.7517077445386,-10.3658680359903,276.697495960627,13.778280867527394,0.33774242611424204,0.09949126874178837,1,-106.881795562212,-106.88179556221199,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
607.335424172977,5.715934051241756,28.9343575945636,29.6097265688999,-1.94326672087417,51.8718773751141,13.778280867527394,0.4600766437397059,0.18913710424046748,2,-114.752220805545,-114.74248920988522,26.49113584622185,0.0,1.8757245117543208e-8,-0.0,0.0,0.0,1,,,1
357.817377332362,5.186875556502353,-23.46412316047769,15.076792573523,-4.20887516462619,112.348065286911,13.778280867527394,0.3030019787516416,0.3236296465208994,1,-95.8166602133206,-95.8166602133206,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
362.439894854634,5.199711472689673,-33.0626577074038,33.8403737541496,-0.276055606395133,7.36878906524965,13.778280867527394,0.49969655450391137,0.1798068910991546,1,-101.647377669471,-101.647377669471,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
452.454434924604,5.421539881210605,-22.267141955268528,12.6522919001607,9.64881641457525,257.557141536745,13.778280867527394,0.16882692102132246,0.009082761670234696,2,-97.3179581198309,-97.3179569101284,60.0,0.0,7.847401688013017e-11,-0.0,0.0,0.0,1,,,1
533.384644420868,5.586095642661224,30.7228454125473,19.5325756012414,10.3632130454889,276.626625945595,13.778280867527394,0.40752140348031496,0.30103214449353644,1,-111.840813736944,-111.840813736944,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
523.593736498091,5.5675688910247425,-12.915858271254201,33.5724278920326,6.53117779100031,174.337598565695,13.778280867527394,0.04051276195968612,0.304298770027291,1,-101.115896176783,-101.115896176783,60.0,0.0,0.0,8.537736462515939e-7,1.4210854715202004e-14,0.0,1,,,1
500.670365856276,5.522800751596578,9.782473347605503,36.4770790233126,10.5684633580951,282.105399874231,13.778280867527394,0.37190967117544993,0.02403708897989887,1,-108.293927590559,-108.29392759055898,60.0,0.0,0.0,-0.0,1.4210854715202004e-14,0.0,1,,,1
348.144209780851,5.159469609298241,-2.9560757161965014,27.2883711408675,-2.18415821532866,58.3020261173464,13.778280867527394,0.4665957609841149,0.3289859323322517,2,-87.3600423336826,-87.3597892636553,42.34530945782589,0.0,2.5833265362090015e-10,-0.0,0.0,0.0,1,,,1
368.839169817901,5.2172135143165255,-20.637323565948442,7.03946517194195,2.26194291929154,60.3783435792166,13.778280867527394,0.19342569720519442,0.07830472186898074,2,-92.8026274132387,-92.80259509251121,51.28301567794759,0.0,4.315844127366588e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
531.499106753117,5.582554336605623,8.9147341742637,19.8817311683052,18.8099304282242,502.09597793573,13.778280867527394,0.3367027678877399,0.11744893253821864,1,-103.675054871502,-103.675054871502,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
509.441483170384,5.540167814025806,-7.830359950375598,1.54823632691801,0.963288830776544,25.7131970460443,13.778280867527394,0.35810543863469046,0.1354069387715049,1,-96.903659575544,-96.903659575544,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
595.878162040174,5.696889039500449,35.300052133205895,34.699657420048,-5.23604225247679,139.766373156029,13.778280867527394,0.20271295632007202,0.21678744638963465,1,-115.849169704329,-115.849169704329,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
494.30742147154,5.510010453744122,-39.00241643075909,41.8618180431672,17.6355708550008,470.748641452175,13.778280867527394,0.0011259417600015809,0.35476471562083134,1,-114.072723123135,-114.072723123135,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
480.300917203617,5.481265637756347,26.005738989405003,26.4570986312343,-11.0704668798688,295.505446735327,13.778280867527394,0.43870885089556033,0.2568828148665041,1,-107.574010241765,-107.574010241765,60.0,0.0,2.117582368135751e-22,-0.0,0.0,0.0,1,,,1
300.392119941819,5.011941507101219,-39.76634573076639,21.1107643194591,-11.780756354694,314.465298279738,13.778280867527394,0.09530286171127855,0.4744934920376327,2,-98.1337588081395,-98.13370792957294,49.3124690022679,0.0,1.7903114945078729e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
483.648991780448,5.488212239460728,31.490102402822103,22.5080223559607,-25.9397030290821,692.411947478901,13.778280867527394,0.4419728331376387,0.25000918449295106,2,-107.065235946339,-107.04997043968618,24.533095895495066,0.0,7.1527520247567696e-9,-0.0,1.4210854715202004e-14,0.0,1,,,1
426.06048883259,5.3614341481942,-5.767577943184399,35.5636190446325,-10.4492356335603,278.922838345057,13.778280867527394,0.38405399761798487,0.3885900697956579,2,-97.5508619646557,-97.55082188954538,50.34907581056106,0.0,1.2982829075083222e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
476.704039579315,5.473748655664261,-3.7567605318596016,24.6559753233055,17.1208824455286,457.00999519443,13.778280867527394,0.09448749774896159,0.349404001124098,1,-98.9123500989363,-98.91235009893629,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
435.677428000069,5.3837549449328845,-4.5442949857078005,45.1158910047973,3.30751747352772,88.2880043999817,13.778280867527394,0.21086453061186972,0.32686130531341107,1,-99.3017720497915,-99.30177204979148,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
298.564935664771,5.005840268529813,-58.9001889099422,15.3149161366164,-27.7547634650865,740.861597418095,13.778280867527394,0.4275699669084041,0.4519727919070107,1,-112.113617240798,-112.113617240798,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
429.401152485986,5.36924438882614,27.051242717107698,46.0346191170788,12.624199655141,336.979442624251,13.778280867527394,0.10316817140160772,0.03230060168906945,1,-106.938960962498,-106.938960962498,60.0,0.0,2.117582368135751e-22,-0.0,0.0,0.0,1,,,1
326.96472284486,5.096705103309333,14.5500553923983,8.81271226881135,-14.4509967340483,385.742380335482,13.778280867527394,0.05568493346123482,0.0974370661518611,1,-92.6073351446384,-92.6073351446384,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
222.676604634273,4.712573334903682,-0.5844794087900986,52.7987714371696,-0.913418928960525,24.3820131154381,13.778280867527394,0.19736439356620655,0.4885425198349509,1,-91.9163717456421,-91.9163717456421,60.0,0.0,1.0587911840678754e-22,8.537736462515939e-7,0.0,0.0,1,,,1
335.1263517668,5.121360449607737,-53.8535930948879,62.8789001805034,-5.24287234808064,139.948689807582,13.778280867527394,0.22006839163066516,0.4814395098085491,2,-128.886764006133,-128.88424648443396,32.36685206622539,0.0,2.8090190045680884e-9,8.537736462515939e-7,2.842170943040401e-14,0.0,1,,,1
430.661364157547,5.3721749027110155,-29.901322592191825,32.5190653723134,28.0113882335313,747.711716538232,13.778280867527394,0.4511367031420992,0.202567042167761,2,-105.128788094258,-105.12865691480624,45.19911940831895,0.0,7.479792245803683e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
249.036320527847,4.8244515708411,-34.31400376821397,55.7016108192508,-6.01067908020411,160.443857160923,13.778280867527394,0.1651931576247616,0.4356523902957754,1,-103.167069713133,-103.16706971313302,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
445.812047804774,5.406750265160733,-5.815849525319699,0.699545197393941,-10.0755863173371,268.948967386309,13.778280867527394,0.242366432081635,0.39069003597890917,1,-91.9208454983663,-91.92084549836629,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
246.887199258391,4.815784368592111,18.159346634322503,13.030313295132,6.95045656060981,185.529462600391,13.778280867527394,0.2836537357091249,0.21492895026533265,1,-84.2706999459864,-84.2706999459864,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
212.249401402372,4.664614824379582,-7.886316626067,26.606795728053,-15.0432356523692,401.551092653722,13.778280867527394,0.07430986319892519,0.33168442823613553,2,-78.7391775281221,-78.72979097517442,26.648087648590845,0.0,2.2188256896136243e-9,-0.0,1.4210854715202004e-14,0.0,1,,,1
399.866234153779,5.297982896003449,51.336708693379805,25.0333548057354,5.0535932538678,134.896237738488,13.778280867527394,0.36061319154099536,0.45933445608917545,1,-111.448820645365,-111.44882064536502,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
427.474446491551,5.364747331741544,11.897290805843802,21.2623567391262,0.223872139635107,5.97584883748371,13.778280867527394,0.14798982574628816,0.3955509740858716,1,-105.390856499591,-105.39085649959098,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
388.903438612667,5.270183902456897,-8.651654645001202,28.1281675967442,-10.2931362954891,274.756057925369,13.778280867527394,0.24513842429633836,0.08625577971573328,2,-92.5319406313097,-92.53189891658894,50.174928849358295,0.0,1.321043597384235e-10,-0.0,1.4210854715202004e-14,0.0,1,,,1
363.494128283053,5.202615963004076,-45.2928099764718,33.3168465496209,-7.089144657615,189.231482443558,13.778280867527394,0.004892738540444697,0.423406565522221,1,-108.177156261165,-108.17715626116498,60.0,0.0,0.0,-0.0,1.4210854715202004e-14,0.0,1,,,1
598.984429178713,5.702088422524337,19.937030330115398,34.9040523061697,4.8561193937984,129.625041693046,13.778280867527394,0.05128053565574042,0.3105241006634607,1,-110.772826340764,-110.77282634076398,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
521.667737734648,5.56388368690955,40.442136121533395,38.9765142262209,0.14892347059104,3.97523403339085,13.778280867527394,0.13715701115173218,0.12805705244501553,1,-115.390614288496,-115.39061428849598,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
373.081619679663,5.228650034662892,-23.61013602376617,27.4684949644805,22.9086700205329,611.504179723448,13.778280867527394,0.37149931781517687,0.2396542136857054,1,-99.2532640024769,-99.25326400247691,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
580.988753557495,5.671584219060719,-13.2030731514321,0.0530759324058601,4.89674387326844,130.709436333711,13.778280867527394,0.308895720188449,0.029643188529954317,1,-100.413291965069,-100.413291965069,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
312.240588228891,5.050626826210492,-53.462681831209096,45.3350268117355,17.6081457092262,470.016578383665,13.778280867527394,0.0738171229087854,0.24066081434661868,1,-112.845410493376,-112.845410493376,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
466.803036868579,5.452760225548041,18.1131711451469,31.9815464718165,2.31244017116401,61.7262734484271,13.778280867527394,0.4386207313553001,0.051324742061655826,1,-108.014955088889,-108.01495508888898,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
496.070138618066,5.513570144671907,16.801213225534397,8.9098227016899,-0.286640169121696,7.65132420771042,13.778280867527394,0.13805348469819378,0.04384773220393434,1,-105.104612342374,-105.10461234237398,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
368.541901026159,5.216407231596227,7.3597940059949,3.97299005579243,-16.8925754897983,450.915767220311,13.778280867527394,0.08933876386765505,0.21715846049323195,1,-98.8755275445054,-98.87552754450539,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
428.664148211735,5.367526560462984,40.944716594274,-0.425618277998338,7.70196130032705,205.589478699413,13.778280867527394,0.030001907071003586,0.23770790364487984,1,-105.72573000374,-105.72573000373998,60.0,0.0,0.0,8.537736462515939e-7,0.0,0.0,1,,,1
463.61317757009,5.44590335494105,-11.247886640851199,12.893719347983,-5.66425777472302,151.19678711901,13.778280867527394,0.0843514916188246,0.14058442373911095,1,-92.8956754391535,-92.89567543915348,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
408.332379010525,5.318934316630962,-28.26740871953179,24.2778250717206,15.3374479971387,409.404541954424,13.778280867527394,0.18545899324096915,0.15717092723101267,2,-102.004749324408,-102.00472186102724,51.99028940087898,0.0,3.5826105232595173e-10,8.537736462515939e-7,0.0,0.0,1,,,1
553.017361098719,5.622242214861491,-30.53883270847251,8.80021253145331,16.6071330682217,443.296414647332,13.778280867527394,0.0684964350719568,0.10433593627908877,1,-97.7365070584559,-97.7365070584559,60.0,0.0,0.0,8.537736462515939e-7,1.4210854715202004e-14,0.0,1,,,1
506.431954179413,5.5342427889495065,24.111881222671002,7.55733160650116,2.45353017592396,65.4924077351658,13.778280867527394,0.04092028380857471,0.20858212865678727,1,-106.398939197081,-106.398939197081,60.0,0.0,0.0,-0.0,1.4210854715202004e-14,0.0,1,,,1
204.697066528837,4.628383981417589,-55.3268495094477,46.9138845062372,0.45941175792827,12.263139236605,13.778280867527394,0.022843411150024195,0.37049066086546745,1,-103.378350895483,-103.378350895483,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
555.954681932218,5.627539603052581,-20.004604545709228,0.0683342640871252,-6.5627488209002,175.18032827129,13.778280867527394,0.05294666147447202,0.03816504376005459,1,-107.235997127391,-107.235997127391,60.0,0.0,0.0,-0.0,0.0,0.0,1,,,1
277.632693341028,4.933151812539595,50.729173832512004,32.0206456862378,0.0132240221198585,0.352990583556397,13.778280867527394,0.00413641549767263,0.032806035033939196,1,-105.091690583501,-105.09169058350099,60.0,0.0,0.0,-0.0,1.4210854715202004e-14,0.0,1,,,1
